"userid","text"
"1","savemaxsuccess"
"40","alarmanlage"
"78","ArtificialIntelligence"
"168","firkinsteinbrewing"
"207","Yuuuuuuuuuup"
"287","socialmediaanddigitalmediamarketing"
"347","sweetmemories"
"360","financialtrauma"
"425","whowantstoseethat"
"388","twofactorauthentication"
"431","EngfaWaraha"
"464","alarmanlage"
"40","alarmanlage"
"502","sheffieldissuperinsta"
"517","BryanChristopherKohberger"
"571","photoshoot"
"616","Welikethebears"
"654","LeeDaHee"
"580","recoveryservice"
"464","alarmanlage"
"755","DisabilityTwitter"
"794","spiritmessages7"
"794","tarotandoraclecardreading"
"794","newperspective"
"846","CryptocurrencyMarket"
"895","attractionmarketing"
"962","BryanChristopherKohberger"
"989","kerryannbrownmusicpromotions"
"989","kerryannbrownmusicpromotion"
"1092","WordForTodayDevotional"
"1099","nwmxannyboiyungin6"
"1127","buonannonuovo"
"1127","newyearseve"
"1145","FreeSpeech"
"1149","TaikaWaititi"
"594","supportsmallstreamers"
"1212","entreprenuership"
"1217","ParPahiramLoans"
"1217","SayNoToPredatoryLoans"
"1254","labachata"
"1293","TOMORROW_X_TOGETHER"
"1402","meghanmarkleisanarcissist"
"1406","freestyledance"
"1406","athairarneamh"
"1406","freestyledance"
"1406","athairarneamh"
"1420","كريستيانو_رونالدو_نصراوي"
"1464","procreateartistsofinstagram"
"1477","riseoftheteenagemutantninjaturtles"
"40","alarmanlage"
"1632","SpudSleepyAnotherYear"
"1648","entrepreneur"
"40","alarmanlage"
