"username","tweet_count","avg_twitter_follower_count","max_insta_follower_count"
"iamblondfox","35","5.0000000000000000","164"
"tausiinsider","4","28.0000000000000000","34"
"hbthrowbacks","4","248.0000000000000000","620"
"sturnioloteam","4","1926.0000000000000000","9541"
"bmurphypointman","3","84450.000000000000","5308"
"sazzy3000","2","18.0000000000000000","60"
"seedsofculture","2","66.0000000000000000","47"
"tensmitten","2","522.0000000000000000","47"
"robbrutvan","2","514.0000000000000000","543"
"jordanliles","2","4189.0000000000000000","287"
"slimeystuff","2","1184.0000000000000000","16"
"personalfitnes3","2","7182.0000000000000000","0"
"louslittlegay","2","377.0000000000000000","46"
"thomascarle","2","41.0000000000000000","615"
"clayslime","2","25132.000000000000","1028"
"swigyeah","2","402.0000000000000000","101"
"modsoul","2","489.0000000000000000","61"
"janet420","2","4324.0000000000000000","10"
"banditmill","1","2495.0000000000000000","677"
"barkmeta","1","30710.000000000000","1486"
"bashairali","1","384.0000000000000000","1"
"bbluehoneyy","1","11.0000000000000000","691"
"behanthescene","1","177.0000000000000000","1960"
"bigneex","1","828.0000000000000000","28"
"bisbabelba","1","141.0000000000000000","79"
"born_blackpink","1","142.0000000000000000","102"
"c0smiccrystals","1","94.0000000000000000","231"
"cadesauce","1","127.0000000000000000","407"
"carlagannis","1","5356.0000000000000000","6454"
"cass_lyons","1","1862.0000000000000000","490"
"christians_team","1","24.0000000000000000","104"
"classic_dae","1","66.0000000000000000","577"
"clkayen","1","1036.0000000000000000","920"
"cmouse35","1","150.0000000000000000","43"
"concannock","1","828.0000000000000000","421"
"coolmom42069","1","766.0000000000000000","0"
"corbin_butler","1","1537.0000000000000000","22"
"crazirockerchic","1","290.0000000000000000","756"
"cuco_radio","1","91.0000000000000000","68"
"cwu_primate","1","914.0000000000000000","1892"
"d0ggospottings","1","142.0000000000000000","256"
"damiensupremacy","1","43.0000000000000000","14"
"danvzla","1","334.0000000000000000","856"
"dasiashadee","1","456.0000000000000000","2859"
"dbfulton","1","1561.0000000000000000","60"
"debraboutique","1","16.0000000000000000","541"
"deesaleca","1","3728.0000000000000000","513"
"demarcuslaney","1","132.0000000000000000","18"
"driverslivcense","1","1006.0000000000000000","9"
"dwarner1220","1","249.0000000000000000","4"
"emilyrverona","1","818.0000000000000000","284"
"ericdoaarchive","1","102.0000000000000000","88"
"ericpare","1","6949.0000000000000000","46"
"esse_onome","1","7.0000000000000000","226"
"eyewashcomic","1","1131.0000000000000000","2077"
"ezbandofficial","1","139.0000000000000000","128475"
"fernvndooo_","1","595.0000000000000000","308"
"filmjdw","1","5934.0000000000000000","10825"
"firearmsteacher","1","415.0000000000000000","11"
"fontesbieber","1","17930.0000000000000000","1875"
"forstandall","1","535.0000000000000000","165"
"freakazoid2222","1","81.0000000000000000","601"
"ftcrcloth","1","503.0000000000000000","1324"
"fuckingthing","1","2.0000000000000000","22"
"garrettholmes","1","754.0000000000000000","988"
"gaslynda","1","3328.0000000000000000","2"
"gaybeatle","1","737.0000000000000000","670"
"gilleechi","1","4329.0000000000000000","2011"
"gin0bili","1","848.0000000000000000","100"
"gingerrogerss","1","3757.0000000000000000","256"
"gracemonroy99","1","78.0000000000000000","601"
"gregauman","1","61751.000000000000","529"
"hayleymagill","1","8778.0000000000000000","2756"
"heyitsmonika","1","886.0000000000000000","1722"
"hookedondreya","1","159.0000000000000000","1234"
"hoshiiitan","1","24.0000000000000000","430"
"hrts4sana","1","471.0000000000000000","432"
"hyper_gloss","1","73.0000000000000000","50"
"iamcyclo","1","5006.0000000000000000","2609"
"ilyydiana","1","1525.0000000000000000","1318"
"infosdaestrella","1","797.0000000000000000","382"
"ishrajinderjeet","1","909.0000000000000000","11823"
"itsjeffepstein","1","2105.0000000000000000","55225"
"itsjusttliv","1","386.0000000000000000","55"
"itsterezcz","1","3847.0000000000000000","26705"
"izzndizz","1","13.0000000000000000","0"
"jaguaro_cr","1","481.0000000000000000","757"
"jaleno316","1","228.0000000000000000","63"
"jatisgroups","1","12.0000000000000000","57"
"javidbashir","1","1630.0000000000000000","88"
"jaylynnnxo","1","30.0000000000000000","2292"
"jenortegas","1","5150.0000000000000000","58"
"jessykaia","1","8015.0000000000000000","6916"
"jhsokluuv","1","2.0000000000000000","288"
"juniorhoney_","1","639.0000000000000000","174"
"kaleidoskullz","1","538.0000000000000000","59"
"kat_films","1","6303.0000000000000000","7579"
"kdlb","1","2104.0000000000000000","2561"
"kehlanifiles","1","8368.0000000000000000","0"
"kem9z","1","1245.0000000000000000","111"
"kidpesto","1","417.0000000000000000","1259"
"kimgarst","1","569971.000000000000","63805"
"koeunxrg","1","631.0000000000000000","4352"
"kthv3012v","1","1.00000000000000000000","1"
"laibanaveed99","1","836.0000000000000000","359"
"lashay_tlg","1","696.0000000000000000","1442"
"lindsayquinn_","1","626.0000000000000000","1"
"loreleijames","1","10356.0000000000000000","144"
"luckittychuu","1","148.0000000000000000","1"
"luke_mots","1","109.0000000000000000","440"
"lukelietome","1","5591.0000000000000000","159"
"madelynflorals","1","160.0000000000000000","16104"
"madeyoulook76","1","16.0000000000000000","26"
"manojprabakaran","1","1413.0000000000000000","153"
"mariaevaelena","1","280.0000000000000000","26"
"markclayburne","1","466.0000000000000000","701"
"meghanrusin","1","449.0000000000000000","1181"
"mehlouddoe","1","554.0000000000000000","2624"
"mibbbly","1","80.0000000000000000","4"
"mikeyishaunted","1","849.0000000000000000","765"
"missy_gardiner","1","161.0000000000000000","682"
"mithovic","1","637.0000000000000000","400"
"mmarcinkrupa","1","1502.0000000000000000","4929"
"mrzeus98","1","526.0000000000000000","0"
"mynamesjoemama","1","13.0000000000000000","0"
"nalgene","1","27639.000000000000","111612"
"naygarcia7","1","160.0000000000000000","454"
"nebbuko","1","42.0000000000000000","796"
"newslitkillah","1","17943.0000000000000000","18005"
"oasisfanboy","1","15.0000000000000000","102"
"oli_via409","1","1.00000000000000000000","0"
"onlytyl3r","1","506.0000000000000000","496"
"oshamatricks","1","496.0000000000000000","21"
"other_allison","1","1068.0000000000000000","18"
"outofmanna_","1","3341.0000000000000000","560"
"pierre_lnts","1","243.0000000000000000","79"
"prabalkghosh","1","14.0000000000000000","125"
"proud_haru","1","55.0000000000000000","1974"
"richjrunning","1","43.0000000000000000","346"
"richyrich","1","19815.0000000000000000","42059"
"riyazxsmriti","1","122.0000000000000000","36124"
"rocco__rola","1","164.0000000000000000","4"
"sailoryue","1","93.0000000000000000","2"
"salehmarey","1","110.0000000000000000","462"
"samulangitnawa","1","297.0000000000000000","28"
"samyraspfc","1","26316.000000000000","4"
"santamonica","1","348.0000000000000000","780"
"sareythefairy","1","124.0000000000000000","2135"
"sashidash09","1","3.0000000000000000","3"
"shaanthepenguin","1","2293.0000000000000000","381"
"shotbyxniya","1","104.0000000000000000","4410"
"sikodayo","1","244.0000000000000000","92"
"sovereignpath","1","1266.0000000000000000","1"
"stacy44_","1","248.0000000000000000","83"
"stupidwifeintl","1","4155.0000000000000000","23791"
"sung_minkim","1","22136.000000000000","84"
"sweetpevv","1","0.00000000000000000000","57"
"taehyunxg","1","265.0000000000000000","38"
"tasmiyah___","1","1553.0000000000000000","17"
"teachermowich","1","333.0000000000000000","165"
"teethbat4","1","474.0000000000000000","0"
"tekimadrigal","1","453.0000000000000000","91"
"terienne98","1","97.0000000000000000","1175"
"the_kdott","1","1214.0000000000000000","532"
"thecoachcoochie","1","469.0000000000000000","139"
"theeemae","1","1007.0000000000000000","1274"
"thegrayfalcong","1","0.00000000000000000000","1"
"therealzevgood","1","10907.0000000000000000","500"
"thetarotman","1","592.0000000000000000","779"
"thuggymontana","1","1291.0000000000000000","0"
"thundergotplump","1","28.0000000000000000","290"
"tiacomehere","1","1382.0000000000000000","1197"
"tierneyyyy","1","510.0000000000000000","1"
"timeforjk","1","26.0000000000000000","25"
"totalsexhaver","1","111.0000000000000000","3269"
"transitarium","1","215.0000000000000000","32"
"tuchesuavae","1","268.0000000000000000","623"
"ty_olsen","1","7746.0000000000000000","891"
"umaeyrr","1","8233.0000000000000000","5251"
"wh0rganization","1","119.0000000000000000","50"
"wholelottakap","1","1022.0000000000000000","1"
"wimbearn","1","1420.0000000000000000","1326"
"yascowboy","1","2711.0000000000000000","2713"
"youngii_muller","1","51.0000000000000000","4155"
"yourplaybookau","1","164.0000000000000000","924"
"yunarts_","1","458.0000000000000000","317"
"49percs","1","47.0000000000000000","0"
"yuutafication","1","56.0000000000000000","19"
"74sred","1","450.0000000000000000","499"
"77fenrir","1","15.0000000000000000","0"
"_jessica_leeann","1","185.0000000000000000","889"
"abadbitxh","1","31.0000000000000000","0"
"abbxterz","1","41.0000000000000000","383"
"aespahw","1","423.0000000000000000","0"
"ajebutterthug","1","3156.0000000000000000","785"
"alejandro_glvs","1","1563.0000000000000000","3221"
"alexhurshey","1","221.0000000000000000","29"
"angraor","1","2062.0000000000000000","849"
"annagrjj","1","166.0000000000000000","1805"
"aprilthedreamer","1","846.0000000000000000","14"
"aragornshope","1","1541.0000000000000000","1742"
"arianalupascu","1","220.0000000000000000","0"
"asiavsxo","1","584.0000000000000000","1142"
"asitwasdarling","1","97.0000000000000000","32"
"avvatrice","1","5366.0000000000000000","62"
