"linkid","text"
"3","instagram.com/reel/CmzztFvpk…"
"4","instagram.com/a11yawareness/"
"11","instagram.com/p/Cmz7dA0pVha/…"
"13","instagram.com/p/Cmz5hyurtci/…"
"14","cts24.eu/instagram"
"17","instagram.com/p/CmzwCA1SSeo/…"
"18","instagram.com/kinlwu/"
"21","pakistanistore.pk/instagram-subs…"
"22","instagram.com/kinlwu/"
"23","instagram.com/reel/Cmu0MxVtJ…"
"26","instagram.com/kinlwu/"
"31","instagram.com/p/Cmww8Hkywee/…"
"32","instagram.com/djhermanpr"
"34","instagram.com/p/Cmz5pUEv_qR/…"
"38","instagram.com/p/CYJx6DNpjya/…"
"39","instagram.com/p/Cmz6q6sunh0/…"
"40","instagram.com/p/Cmz6uM-JVrL/…"
"41","instagram.com/p/Cmzm-_WSLR6/"
"43","instagram.com/tg_seminar/"
"44","instagram.com/jody.mousseau/"
"45","instagram.com/p/CJd3OV4p3Ol/…"
"46","instagram.com/kinlwu/"
"47","instagram.com/miraloma_club?…"
"50","instagram.com/quantum.radio"
"55","instagram.com/p/Cmz6IGZrdP1/…"
"60","instagram.com/fraservalleycu…"
"66","instagram.com/kinlwu/"
"67","instagram.com/reel/Cmz3JeChv…"
"68","instagram.com/kinlwu/"
"69","instagram.com/reel/Cmz5F__qo…"
"71","instagram.com/thenailslifes/"
"73","instagram.com/p/CmmLnG1oxac/…"
"74","thevirtualassist.net/instagram-mark…"
"76","instagram.com/p/Cmz28G8S9p4/…"
"77","instagram.com/p/CmzxxTHyrmc/…"
"81","instagram.com/kinlwu/"
"82","instagram.com/kinlwu/"
"85","instagram.com/p/CmyO66DNXVT/…"
"89","instagram.com/ftcrcloth/"
"94","instagram.com/reel/Cmz4IDJIB…"
"96","instagram.com/kinlwu/"
"103","instagram.com/skippyskittle"
"104","instagram.com/skippyskittle.…"
"112","cts24.eu/instagram"
"113","instagram.com/p/Cmzcr0XrHfP/…"
"114","instagram.com/shotbyxniya?ut…"
"116","instagram.com/p/Cmzwi40LD8t/…"
"118","instagram.com/p/CmyjVVSJu7Q/…"
"119","cts24.eu/instagram"
"122","instagram.com/p/Cmz4kmyOr9l/…"
"123","instagram.com/somegoodcleanf…"
"124","instagram.com/kinlwu/"
"127","instagram.com/spartan.tradin…"
"130","instagram.com/reel/Cmz4Z5TrY…"
"131","instagram.com/comorava19?utm"
"132","instagram.com/kinlwu/"
"143","instagram.com/gabirosemusic/"
"149","instagram.com/djhermanpr"
