"username","text"
"therealtybulls1","💥At the cusp of 2022-2023, probably the right time to reflect on the past and look ahead towards the future. Optimism and positivity have always been our ""lens"" and will remain
#savemaxsuccess #savemax #therealtybulls #foryoupage #fyp #motivation #positivevibes #instagram #viral https://t.co/QziCHtSCbk"
"terienne98","I’m receiving so much love on Instagram about something I was so scared to post about. I’m crying"
"totorika64","@AccelerexN Done on IG. The person I nominated is not of instagram though but i put his name."
"totalsexhaver","i hate   Instagram  so Much     So Much  So Much So Much So Much"
"tuchesuavae","@BraTired @Sauced_xay @Stephdurann @NotTheWifeyType Thas not her instagram"
"the_unswerving","AI Art apps top the charts, Instagram adds text-only 'Notes,' alternative app stores in EU #ArtificialIntelligence via https://t.co/yNOfVDx5DP https://t.co/lHzI1iLNej"
"taehyunxg","This photo was taken while practicing. Ah, correction, I'm not practicing anymore because I was caught on the camera busy playing with my cell phone. Isn't anyone curious about the picture or video I took? Yup, I posted it some time ago on my Instagram story. https://t.co/xEYYpLGF7N"
"tierneyyyy","All I see on Instagram stories now are people promoting their business or supporting someone else I love that"
"tensmitten","211231 TEN LEE INSTAGRAM #ThisDayOnInstagram

https://t.co/SUj0EJlgQW https://t.co/mRRBW6Wzpe"
"thuggymontana","Like why would y’all put y’all number on Instagram? That ain’t weird within itself ? At least use a text me now lol"
"tiltheydont","reply if you want my personal insta"
"thegrayfalcong","Instagram is for the vain. 

Twitter is for phone addicts. 

I have a serious phone addiction. 5-7 hours a day of screentime. Insane. 

But I make a lot of money with it. Speak to a lot of hunnies with it. 

And twitter by far is the app with the QUICKEST NON STOP info.

-Cobra"
"tensmitten","201231 TEN LEE INSTAGRAM #ThisDayOnInstagram

https://t.co/Io2sO4DERO https://t.co/TpkAsjo6a2"
"tausiinsider","Can You Be Accidentally Toxic?
https://t.co/shrBgdMtGX
___
 # #news #stories #articles #tips #advice #tausiinsider #lifehack #insider #newspaper #headlines #newsupdates #instagram #media #breakingnews #business #entertainment #science #technology #h...
https://t.co/shrBgdMtGX"
"thespicymike1","But if I delete my Instagram how will I torture myself over lost love from my past?"
"ty_olsen","Just in time for New Year's, I got around to taking photos of the gluttenous stuffed mushroom non-recipe I shared in the @currentfv newsletter earlier this month. 
All pics + recipe on instagram https://t.co/yuxkRVtNS3
Subscribe for non-mushroom content: https://t.co/cvvkDfS2mp https://t.co/gPo2fD78ID"
"thetarotman","@livewithnoregrt Yes, more than once.  I shall not mention her name (Naomi), but she was not the genuine friend I thought she was.  I was shocked to receive a voicemail from her, and that she began following me on Instagram.  No hate, but did not return her call, and blocked her on Instagram."
"trendzfriendzBR","My insta: @ https://t.co/7tYPKwVFpq 

BESTIES!!! 😸💕

• #fy #TRENDZ #ra_L #eunil #kpop https://t.co/QQUptW5GI7"
"transitarium","@shibakazs he posts this on his instagram that night https://t.co/axv1RIg4EX"
