"text","tweetid"
"savemaxsuccess","1"
"alarmanlage","40"
"ArtificialIntelligence","79"
"firkinsteinbrewing","175"
"Yuuuuuuuuuup","217"
"socialmediaanddigitalmediamarketing","307"
"sweetmemories","376"
"financialtrauma","391"
"whowantstoseethat","459"
"twofactorauthentication","462"
"EngfaWaraha","467"
"alarmanlage","507"
"alarmanlage","547"
"sheffieldissuperinsta","548"
"BryanChristopherKohberger","565"
"photoshoot","626"
"Welikethebears","675"
"LeeDaHee","717"
"recoveryservice","728"
"alarmanlage","803"
"DisabilityTwitter","849"
"spiritmessages7","898"
"tarotandoraclecardreading","898"
"newperspective","898"
"CryptocurrencyMarket","965"
"attractionmarketing","1021"
"BryanChristopherKohberger","1101"
"kerryannbrownmusicpromotions","1134"
"kerryannbrownmusicpromotion","1134"
"WordForTodayDevotional","1254"
"nwmxannyboiyungin6","1261"
"buonannonuovo","1290"
"newyearseve","1290"
"FreeSpeech","1312"
"TaikaWaititi","1317"
"supportsmallstreamers","1394"
"entreprenuership","1396"
"ParPahiramLoans","1401"
"SayNoToPredatoryLoans","1401"
"labachata","1444"
"TOMORROW_X_TOGETHER","1490"
"meghanmarkleisanarcissist","1615"
"freestyledance","1621"
"athairarneamh","1621"
"freestyledance","1638"
"athairarneamh","1638"
"كريستيانو_رونالدو_نصراوي","1640"
"procreateartistsofinstagram","1695"
"riseoftheteenagemutantninjaturtles","1710"
"alarmanlage","1788"
"SpudSleepyAnotherYear","1888"
"entrepreneur","1906"
"alarmanlage","1983"
