TwitterUserId,Username,InstagramUserId,NumberofPosts,FollowersCount,FollowingCount,Bio,ExternalURL
6,robbrutvan,1031044581,71,543,628,"Chicago | Notre Dame '21 | Founder of AIRosas, Windy City Policy, @roaringshiba, & @rosas.farms rob@chicagoseedbank.com",http://www.liquidmercury.org/
8,demarcuslaney,749703781,0,18,3,,
9,terienne98,193083767,0,1175,374,God | Tx,
11,mynamesjoemama,50670281140,0,0,45,,
12,bbluehoneyy,4307300064,46,691,1116,"♡︎☆𝟙𝟛🦂
@kateglass.photography",https://linktr.ee/kateglassphotography
13,a11yawareness,57224091062,22,53,1,"Helping you better understand web accessibility for people with disabilities, whether you're a student, teacher, journalist… whomever!",
14,gilleechi,215776207,653,2011,2159,If you’re here for nails follow: @gilleechinails 💅🏼,
19,ishrajinderjeet,1564719586,316,11823,3627,"Aerospace Engineer
Property Developer & Investor
🛫 32+ countries
🏠 Mauritius | Australia",
21,cadesauce,3156955396,961,407,892,cadesauce,http://cadesauce.com/
22,fernvndooo_,12113738562,3,308,665,,
25,newslitkillah,48316348326,670,18005,581,"Fuente #1 de información sobre las últimas noticias de @litkillah.
📲 ¡Síguenos en Twitter como @newslitkillah!
💿 | Escucha 'SnipeZ' acá ↴",https://wml.link/LitKillahSNIPEZ
31,3brando_,8440054019,0,219,179,,
33,ruthsoller,54538460201,0,32,4,,
34,totalsexhaver,44330688580,795,3269,653,"real life clown
@internetboner",
35,gaslynda,38717153633,0,2,0,,
36,_biglord55,3987693069,306,987,2868,"LLTurbo55
LLScar💛  LLGotti🩸
#DaBiggestPlaya🤲🏿🫴🏿💫",http://mr.billydeedrawls/
37,glmom73,6945775431,0,12,28,,
39,onlytyl3r,1906987017,0,496,469,,http://twitch.com/onlytyl3r/
42,samyraspfc,8453123523,0,4,0,,
43,hyper_gloss,33212989596,24,50,86,"Aspiring creative director 🎉🌈🍭
He/him/they/them",https://open.spotify.com/user/1237127110?si=dxUT_JZVSPCwAh-juPU6zA&utm_source=copy-link
44,lsdwn7,40680607965,0,0,8,,
51,sung_minkim,1268696926,0,84,83,,
52,sweetpevv,49321009892,0,57,61,nothing,
54,banditmill,50005988026,20,677,49,"Independent collective creating tv-quality adult animation 
Creating @boxtownofficial",https://www.indiegogo.com/projects/boxtown-an-adult-animated-film-noir-comedy
58,nerdy_3000,612427941,18,148,216,"26
How to stream Eric Nam's Music ⬇️",https://ericnamstreamingdata.carrd.co/
59,sturnioloteam,57484674987,918,9541,83,Your #1 source for updates and HQ pictures of the Sturniolo Triplets | fan account,https://linktr.ee/Sturniolotriplets
61,verk_t,34826030256,0,0,0,,
62,itsterezcz,631514193,93,26705,334,"Twitch partner
Stream without day off❤️ (840+)
Business: terez.herzanova@gmail.com
Ambassador for @enterprise_esports
Socials:",http://itsterez.cz/
63,hannnasofiaa,269678109,764,40883,1706,"Self portraitist | dressmaker | vintage fashion | model | painter | costumer | collector of hats | 🇨🇦
hannnasofiaa@gmail.com",https://linktr.ee/hannnasofiaa
64,heygraciela_,191420315,11,426,687,Hourly beep stays on,
68,aprilthedreamer,51313753553,18,14,0,To those who know me.,
69,woodsliger,7320704677,1,0,1,,
70,tuchesuavae,332104302,610,623,7492,"Published Photographer📸,writer,musician,artist,MFD🚒/AEMT🚑,EDT🏥,educator🍎,sXe. I study various religions & cultures. ᏣᎳᎩ NativePride",https://issuu.com/terrywatson7/docs/memphis_2fe0cd4cebd3ff
73,gingerrogerss,11549982266,3,256,16,,
